2	To
4	For
9	Parent is watching
19	Zero hand
20	Location
86	Over
88	Bye-bye / Hugs and kisses
121	One-to-one
143	I love you
182	I hate you
404	I do not know
411	Information
420	Lets get high / Marijuana
459	I love you
511	Too much information
555	Sobbing, crying
831	I love you
1337	Elite
1432	I love you too
55555	Crying your eyes out
*s*	Smile
*w*	Wink
?4U	I have a question for you
@TEOTD	At the end of the day
^^	Read line / message above
^5	High-five
^URS	Up yours
0.02	My two cents worth
10Q	Thank you
10X	Thanks
14AA41	One for all, and all for one
1CE	Once
1DR	I wonder
1NAM	One in a million
2EZ	Too easy
2G2BT	Too good to be true
2M2H	Too much too handle
2MI	Too much information
2MOR	Tomorrow
2NTE	Tonight
4AO	For adults only
4COL	For crying out loud
4EAE	Forever and ever
4NR	Foreigner
6Y	Sexy
7K	Sick
A/S/L	Age sex location
A3	Anytime, anywhere, anyplace
AA	Alcoholics Anonymous / As above / Ask about
AAF	As a matter of fact / As a friend
AAK	Asleep at keyboard / Alive and kicking
AAMOF	As a matter of fact
AAMOI	As a matter of interest
AAP	Always a pleasure
AAR	At any rate
AAS	Alive and smiling
AASHTA	As always, Sheldon has the answer
AATK	Always at the keyboard
ABC	Already been chewed
ABT	About
ABT2	About to
ABTA	Good-bye
ABU	All bugged up
AC	Acceptable content
ACC	Anyone can come
ACD	Alt, control, delete
ACDNT	Accident
ACE	Marijuana cigarette
ACK	Acknowledge
ACPT	Accept
ACQSTN	Acquisition
ADAD	Another day, another dollar
ADBB	All done, bye-bye
ADD	Address
ADDY	Address
ADIH	Another day in hell
ADIP	Another day in paradise
ADMIN	Administrator
ADMINR	Administrator
ADN	Any day now
ADR	Address
AE	Area effect
AEAP	As early as possible
AF	April Fools
AFAIAA	As far as I am aware
AFAIC	As far as I am concerned
AFAIK	As far as I know
AFAIUI	As far as I understand it
AFAP	As far as possible
AFC	Away from computer
AFFA	Angels Forever, Forever Angels
AFJ	April Fool’s joke
AFK	Away from keyboard
AFPOE	A fresh pair of eyes
AFZ	Acronym Free Zone
AH	At home
AIAMU	And I am a money’s uncle
AIGHT	Alright
