id	text	HS	TR	AG
201	np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000	1	0	0
202	np00000 nc0p000 nc0s000 nc0s000 nc0s000 vmip000 vmn0000 da0000 np00000 np00000 np00000 np00000 np00000 np00000 sp000 vmn0000 cc fx nc0s000 vmis000 nc0s000 word np00000 np00000 np00000 nc0s000 cc da0000 np00000 vmsp000 da0000 nc0s000 np00000 np00000 vmsp000 nc0s000 nc0s000 aq0000 vmsp000 aq0000 nc0s000 nc0s000 nc0p000 aq0000 vmsp000 nc0s000 aq0000 fh nc0s000 fh aq0000 np00000	1	0	0
203	np00000 np00000 vmn0000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 cc nc0s000 vmsp000 np00000 np00000 np00000 aq0000 nc0s000 di0000 aq0000 nc0s000 cc np00000 np00000 np00000 vmn0000 nc00000 nc0s000 aq0000 np00000 np00000 np00000 np00000 sp000 np00000	1	0	0
204	i fh aq0000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000	0	0	0
205	np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 aq0000 np00000 np00000 np00000 np00000	0	0	0
206	aq0000 nc0s000 np00000 np00000	1	0	0
207	np00000 np00000 np00000 sp000 np00000 np00000 np00000 np00000 np00000 np00000 fh np00000 fh np00000 np00000 z0 np00000 np00000 np00000 vmif000 aq0000 nc0s000 vmip000 vmn0000 np00000 np00000 nc0s000 cc vmn0000 nc0s000 np00000 np00000 np00000	0	0	0
208	nc00000 np00000 np00000 np00000 np00000 np00000 np00000	0	0	0
209	nc0s000 aq0000 aq0000 nc0s000 np00000 np00000 va00000 word vaip000 fh rg vmip000 np00000 np00000 np00000 z0 np00000 np00000	0	0	0
210	np00000 np00000 np00000 np00000 np00000 w	0	0	0
211	i np00000 np00000 nc0n000 np00000 nc0s000 aq0000 rg aq0000 vmsp000 da0000 np00000 cc nc0s000 fg aq0000 np00000 np00000 fg	0	0	0
212	np00000 np00000 np00000 vmn0000 nc00000 nc0p000 cc vmis000 vmn0000 np00000 np00000 nc0s000 np00000 nc0p000 np00000 np00000 np00000 np00000 np00000 fat np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000	1	0	1
213	np00000 np00000 np00000 vaip000 nc0s000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 vm00000 nc0s000 aq0000 sp000 nc0s000 nc0p000 np00000 nc0n000 np00000 np00000 np00000 nc00000 np00000 aq0000 vmsp000 nc0s000	0	0	0
214	np00000 np00000 np00000 vmsp000 vmn0000 np00000 vaip000 nc0p000 aq0000 fg nc0s000 np00000 nc0s000 np00000 fx np00000 vmsp000 aq0000 np00000 z0 np00000 np00000 np00000 z0 nc00000 np00000 vaip000 vmp0000 np00000 np00000 np00000 np00000 np00000 fh np00000 fh np00000 np00000 np00000 np00000 vmsp000 nc00000 aq0000 fg nc00000 vmn0000 np00000 np00000 np00000 np00000 np00000 fx np00000 sp000 nc0s000 np00000 aq0000 z0	0	0	0
215	np00000 np00000 nc0s000 np00000 vmsp000 nc0s000 fh nc0s000 np00000 fh aq0000 nc0s000 np00000 vmsp000 np00000 z0 nc0p000	0	0	0
216	nc0s000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 aq0000 np00000 fh aq0000 np00000 vmip000 sp000 np00000 fat np00000 np00000 aq0000 np00000 pp000000 np00000 vmip000 np00000 aq0000 np00000 np00000 np00000 np00000	1	0	1
217	np00000 np00000 np00000 np00000 np00000 np00000 z0 nc0p000 vmis000 nc0p000 vm00000 di0000 nc0s000 nc0n000 z0 nc00000 np00000 np00000 np00000 np00000 np00000 np00000 fit vmip000 np00000 vmip000 vmsp000 nc0s000 vmis000 nc0s000 cc nc0s000 nc0n000 np00000 np00000 np00000 np00000 np00000 aq0000 sp000 np00000 fit	1	0	1
218	np00000 np00000 np00000 np00000 np00000 aq0000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 aq0000 np00000 np00000 np00000 np00000 vmip000 nc0p000 np00000 np00000 aq0000 word np00000 np00000 nc0s000 nc0p000 vmip000 vmsi000 vmsp000 np00000 np00000	1	0	0
219	np00000 np00000 np00000 aq0000 cc nc0p000 np00000 np00000 nc0n000 np00000 np00000 np00000	0	0	0
220	np00000 np00000 np00000 z0 np00000 np00000 fh aq0000 np00000 nc0s000 cc vmn0000 nc0p000 aq0000 nc0s000 aq0000 np00000 np00000 np00000 fh aq0000 nc0p000 fh np00000 fh np00000 np00000 vmsp000 nc0s000 np00000 vmn0000 nc0s000 aq0000 np00000 aq0000 np00000 np00000	0	0	0
221	np00000 np00000 np00000 np00000 vmn0000 fat	0	0	0
222	np00000 np00000 sp000 nc00000 aq0000 np00000 np00000 np00000 nc0p000 vaip000 nc0p000 np00000 np00000 np00000 np00000 np00000 np00000 sp000 nc00000 aq0000 np00000 np00000 np00000 np00000 vaip000 vaip000 fh vaip000 vmip000 nc0s000 np00000 vmsp000 nc00000 np00000 np00000 vmis000 aq0000 rg vmip000 sp000 vmn0000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 nc0n000 np00000	0	0	0
